path_family,path_progress,n_pairs,A_isi_median,A_isi_q25,A_isi_q75,rheobase_J_median,active_rate_median,mean_isi_median,occupancy_median
drive_late,0.65,32,0.186156292933829,0.0129270707751336,0.3255997201686987,0.4901130901050382,68.41447869960476,12.268331570401042,0.9800320343524138
drive_late,0.675,32,0.2135462593407027,0.0560218660702288,0.3591684769111309,0.5213629541643114,67.64204833832326,12.590835611712292,0.983697978736308
drive_late,0.7000000000000001,32,0.280960734544082,0.094452257727215,0.3888110229348051,0.5691047859341432,66.49959206755781,13.008804533491707,0.984099265888278
drive_late,0.7250000000000001,32,0.3151089660450554,0.1371798748013482,0.441107225174486,0.6371542822185498,64.43336500085543,13.549784113094784,0.9789666302370952
drive_late,0.75,32,0.3619764653719275,0.1869952029655985,0.4937894960453461,0.6961470844904774,62.94291637155183,14.692480313287042,0.9745559049696806
drive_late,0.775,32,0.4212992271415455,0.235714921380013,0.530057633091815,0.7563724484879971,61.47689077383112,15.169066184881196,0.9811223027283852
drive_late,0.8,32,0.4725763635297852,0.2955801992795441,0.5944576713742373,0.8399805183206126,59.44748381014748,16.089158270423745,0.9846360437912944
drive_late,0.8250000000000001,32,0.5232136948205617,0.3943027958359027,0.6328464621322872,0.9529126694678322,57.955435123662106,16.517346428135546,0.983315215693432
drive_late,0.8500000000000001,32,0.5639613186919099,0.4540726815061876,0.7074374771727014,1.0338797518920955,55.443588436207584,16.809647999355974,0.9815510746878178
drive_late,0.875,32,0.6101140041885744,0.5155869659905785,0.7520291884116942,1.1204120191763882,52.93040194829848,17.33698219416984,0.9839178488787712
drive_late,0.9,32,0.6898708276351266,0.5888105307328664,0.8060378366682722,1.239023684997564,53.03133096088479,18.54631438633757,0.9819562273645526
drive_late,0.925,32,0.7669024163055349,0.6629844168203489,0.888454767625575,1.383123546823532,52.08632328527597,19.19938272235769,0.9814122829562136
drive_late,0.95,32,0.8416743013661208,0.7491623120181494,0.9064800828949208,1.5849369271966396,47.78372875017018,20.092877874907398,0.9803674136318522
drive_late,0.975,32,0.9046655531033544,0.8336724378174954,0.9729611255419252,1.824273634069624,43.10348548977021,22.70680279639908,0.9783354334475896
drive_late,1.0,32,0.9896866243639356,0.8629689750297578,1.0976267523570291,2.100249277609165,40.333055978523824,24.9162270568682,0.9744655361255604
