dt_ms,view,marker_variant,aggregation_order,n_pairs,median_pair_delta,q25_pair_delta,q75_pair_delta,fraction_pairs_negative,n_cells,median_cell_delta,q25_cell_delta,q75_cell_delta,fraction_cells_negative,n_animal_pairs,median_animal_pair_delta,fraction_animal_pairs_negative,leave_one_animal_out_all_negative
0.025,xy,seed_median_curve_isotonic,marker_first,32,-0.07827200796182404,-0.1933438552978731,0.04660852711535726,0.625,12,-0.09244683957971159,-0.16646292434471038,-0.0256151010189656,0.8333333333333334,8,-0.057589849858939335,1.0,True
0.025,xy,seed_median_curve_persistent,curve_first,32,-0.1412994940549221,-0.29708725707529526,0.04083651574442566,0.6875,12,-0.12569658821508123,-0.19334442856305273,-0.06221274636784861,0.75,8,-0.15244337273768763,1.0,True
0.025,xy,seed_median_curve_persistent,marker_first,32,-0.0874249256862435,-0.18082168523432376,0.04660852711535726,0.65625,12,-0.09156615401660756,-0.11777467361431257,-0.043540046986645466,0.8333333333333334,8,-0.06385354066246444,1.0,True
0.025,xyz,median_seed_isotonic,curve_first,32,-0.15791085542257638,-0.33025129617450827,-0.011719174743224314,0.84375,12,-0.16804604080386237,-0.25415860777915367,-0.09486660058802197,0.9166666666666666,8,-0.15943485827365142,0.875,True
0.025,xyz,median_seed_isotonic,marker_first,32,-0.12271646109439927,-0.3535208414091405,-0.030773906923838967,0.8125,12,-0.13530686959382054,-0.23812770601538588,-0.08127597000398734,0.9166666666666666,8,-0.13034195549170835,0.875,True
0.025,xyz,q25_seed_isotonic,curve_first,32,-0.19050888908378466,-0.3586560294038429,-0.03277928326358964,0.84375,12,-0.22460847849354787,-0.3142291407290485,-0.14788217395289419,0.9166666666666666,8,-0.1633736161189776,0.875,True
0.025,xyz,q25_seed_isotonic,marker_first,32,-0.2211152963803946,-0.37118311205790994,-0.08924836662401936,0.875,12,-0.2385323932333469,-0.35090090328776524,-0.1496001627652337,1.0,8,-0.16691490649496205,1.0,True
0.025,xyz,q75_seed_isotonic,curve_first,32,-0.13329925765514802,-0.31562506761491244,0.026783853380186906,0.71875,12,-0.12448327987972167,-0.22643700040525863,-0.04846984097068748,0.8333333333333334,8,-0.1527495547805254,0.625,True
0.025,xyz,q75_seed_isotonic,marker_first,32,-0.06814550188644997,-0.27671537228433546,0.06365265305770812,0.6875,12,-0.10135892976863765,-0.16475157254858958,-0.03603147961548872,0.75,8,-0.06325854320431509,0.75,True
0.025,xyz,seed_median_curve_first,curve_first,32,-0.1688179374673444,-0.30803609391599346,-0.011731345109096375,0.84375,12,-0.17995846526377082,-0.28046488176368223,-0.1393983409175042,0.9166666666666666,8,-0.15943333718935082,0.875,True
0.025,xyz,seed_median_curve_first,marker_first,32,-0.20367063387441445,-0.36894850634681664,-0.05581075623936284,0.84375,12,-0.1745067139270524,-0.3160660093952309,-0.09132455554823354,0.9166666666666666,8,-0.13082374323188367,0.875,True
0.025,xyz,seed_median_curve_isotonic,curve_first,32,-0.1688179374673444,-0.30803609391599346,-0.011731345109096375,0.84375,12,-0.17568553076452076,-0.27924956213172936,-0.13305932661788605,0.9166666666666666,8,-0.15943333718935082,0.875,True
0.025,xyz,seed_median_curve_isotonic,marker_first,32,-0.12080968050421204,-0.27407755121987243,-0.032825068573615584,0.8125,12,-0.16832233253580742,-0.22559263234978755,-0.0784503703290843,0.9166666666666666,8,-0.13082374323188367,0.875,True
