dt_ms,view,marker_variant,aggregation_order,animal_pair_key,wt_animal_id,sca3_animal_id,n_cell_pairs,kl_minus_firing_p
0.0125,xyz,seed_median_curve_first,curve_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.15095681732308855
0.0125,xyz,seed_median_curve_first,curve_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.21789439882831807
0.0125,xyz,seed_median_curve_first,curve_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.16766986254132565
0.0125,xyz,seed_median_curve_first,curve_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.01070142402396046
0.0125,xyz,seed_median_curve_first,curve_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.28626162655389964
0.0125,xyz,seed_median_curve_first,curve_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.27130021693698003
0.0125,xyz,seed_median_curve_first,marker_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.06899645511347194
0.0125,xyz,seed_median_curve_first,marker_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,-0.0032941539144969167
0.0125,xyz,seed_median_curve_first,marker_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.10747485603198192
0.0125,xyz,seed_median_curve_first,marker_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.20070653378839654
0.0125,xyz,seed_median_curve_first,marker_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.17283517931985068
0.0125,xyz,seed_median_curve_first,marker_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.02235558095235446
0.0125,xyz,seed_median_curve_first,marker_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.38439985733924886
0.0125,xyz,seed_median_curve_first,marker_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.27130021693698003
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.009746705323014304
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,0.0658255202675708
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.15095681732308855
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.19783248081763638
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.16766986254132565
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.011679462621447145
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.28626162655389964
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.23096682925627618
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.04890148784738804
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,0.03538514369575413
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.10747485603198192
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.19471814309343233
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.17283517931985068
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.023510940857330243
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.3369227850897263
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.1733614141832997
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.009746705323014304
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,0.07033174317590893
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.15095681732308855
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.19394421305382198
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.16766986254132565
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.01070142402396046
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.28626162655389964
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.19748493920957907
0.0125,xyz,seed_median_curve_persistent,marker_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.039245444030924836
