subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_crossing,support_fraction,median,q25,q75
all_pairs,drive,p_intrinsic,0.6,isi,WT_exit,0.1358293233470019,p_drive,72,71,0.9861111111111112,0.18441073717111425,0.0,0.4858239279661313
all_pairs,drive,p_intrinsic,0.6,isi,balance,0.5,p_drive,72,49,0.6805555555555556,0.5912895046709344,0.012685343728525858,0.7420800212462411
all_pairs,drive,p_intrinsic,0.6333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,54,0.75,0.4661773531151403,0.0,0.8127227714806126
all_pairs,drive,p_intrinsic,0.6333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,71,0.9861111111111112,0.0,0.0,0.4869877631514741
all_pairs,drive,p_intrinsic,0.6333333333333333,active,balance,0.5,p_drive,72,58,0.8055555555555556,0.27805885111658807,0.0,0.7012402757815608
all_pairs,drive,p_intrinsic,0.6333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,25,0.3472222222222222,0.7091613243051927,0.0,0.8623118268871165
all_pairs,drive,p_intrinsic,0.6333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,71,0.9861111111111112,0.1283048690267963,0.0,0.47072501994948285
all_pairs,drive,p_intrinsic,0.6333333333333333,isi,balance,0.5,p_drive,72,54,0.75,0.6513659280269442,0.04515945618062651,0.7330602138483486
all_pairs,drive,p_intrinsic,0.6666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,54,0.75,0.4122486547352092,0.0,0.8189280722969006
all_pairs,drive,p_intrinsic,0.6666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,71,0.9861111111111112,0.0,0.0,0.5123893497973764
all_pairs,drive,p_intrinsic,0.6666666666666666,active,balance,0.5,p_drive,72,59,0.8194444444444444,0.2662493031800428,0.0,0.6952998056050073
all_pairs,drive,p_intrinsic,0.6666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,26,0.3611111111111111,0.7483986032878566,0.0010989169735530176,0.8832560155424007
all_pairs,drive,p_intrinsic,0.6666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,71,0.9861111111111112,0.14248341897180042,0.0,0.48863100313141306
all_pairs,drive,p_intrinsic,0.6666666666666666,isi,balance,0.5,p_drive,72,56,0.7777777777777778,0.6630320231765428,0.08425924184733241,0.7353318216742093
all_pairs,drive,p_intrinsic,0.7,active,SCA3_entry,0.6832817402871161,p_drive,72,55,0.7638888888888888,0.42153667013680274,0.0,0.8213901384439377
all_pairs,drive,p_intrinsic,0.7,active,WT_exit,0.1483293470542087,p_drive,72,71,0.9861111111111112,0.0,0.0,0.5064526404473972
all_pairs,drive,p_intrinsic,0.7,active,balance,0.5,p_drive,72,59,0.8194444444444444,0.30127182478672326,0.0,0.7404430155484907
all_pairs,drive,p_intrinsic,0.7,isi,SCA3_entry,0.7978563373093712,p_drive,72,32,0.4444444444444444,0.8150447732569945,0.025435137601851267,0.9193686949369263
all_pairs,drive,p_intrinsic,0.7,isi,WT_exit,0.1358293233470019,p_drive,72,71,0.9861111111111112,0.1755279202473119,0.0,0.47717662310461745
all_pairs,drive,p_intrinsic,0.7,isi,balance,0.5,p_drive,72,62,0.8611111111111112,0.6708920783141192,0.21465956415063042,0.7256605965136396
all_pairs,drive,p_intrinsic,0.7333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,55,0.7638888888888888,0.4608130756438193,0.0,0.7938916343293241
all_pairs,drive,p_intrinsic,0.7333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,71,0.9861111111111112,0.0,0.0,0.5101769705548502
all_pairs,drive,p_intrinsic,0.7333333333333333,active,balance,0.5,p_drive,72,60,0.8333333333333334,0.33832457195194965,0.0,0.7483851427417431
all_pairs,drive,p_intrinsic,0.7333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,31,0.4305555555555556,0.8062315732470023,0.0333333333333333,0.8960109582020883
all_pairs,drive,p_intrinsic,0.7333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,71,0.9861111111111112,0.13942808498571088,0.0,0.47600229338695665
all_pairs,drive,p_intrinsic,0.7333333333333333,isi,balance,0.5,p_drive,72,63,0.875,0.6611070946064727,0.18060080025374647,0.7337359218253925
all_pairs,drive,p_intrinsic,0.7666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,55,0.7638888888888888,0.5216537108837656,0.0,0.7962201663103976
all_pairs,drive,p_intrinsic,0.7666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,0.0,0.0,0.5272349721051118
all_pairs,drive,p_intrinsic,0.7666666666666666,active,balance,0.5,p_drive,72,62,0.8611111111111112,0.4414224663218169,0.0,0.748870849578785
all_pairs,drive,p_intrinsic,0.7666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,30,0.4166666666666667,0.8055636004320451,0.04166666666666662,0.8889032646827139
all_pairs,drive,p_intrinsic,0.7666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,0.14566569362736942,0.0,0.48730307554071
all_pairs,drive,p_intrinsic,0.7666666666666666,isi,balance,0.5,p_drive,72,64,0.8888888888888888,0.6516566068425799,0.21292892989762804,0.7459645265449655
all_pairs,drive,p_intrinsic,0.8,active,SCA3_entry,0.6832817402871161,p_drive,72,56,0.7777777777777778,0.6164898311138622,0.0,0.8160151699115668
all_pairs,drive,p_intrinsic,0.8,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,0.0,0.0,0.5375158364011543
all_pairs,drive,p_intrinsic,0.8,active,balance,0.5,p_drive,72,62,0.8611111111111112,0.5114272171691872,0.0,0.753791795577033
all_pairs,drive,p_intrinsic,0.8,isi,SCA3_entry,0.7978563373093712,p_drive,72,32,0.4444444444444444,0.8009294518431316,0.0666666666666666,0.8942488801732664
all_pairs,drive,p_intrinsic,0.8,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,0.14990001534857572,0.0,0.4750172203074912
all_pairs,drive,p_intrinsic,0.8,isi,balance,0.5,p_drive,72,65,0.9027777777777778,0.6607448981045555,0.2640741796472267,0.7538977900247271
all_pairs,drive,p_intrinsic,0.8333333333333334,active,SCA3_entry,0.6832817402871161,p_drive,72,57,0.7916666666666666,0.6604484689444599,0.0,0.8300586984059111
all_pairs,drive,p_intrinsic,0.8333333333333334,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,0.0,0.0,0.5344953830937543
all_pairs,drive,p_intrinsic,0.8333333333333334,active,balance,0.5,p_drive,72,64,0.8888888888888888,0.5818738370265534,0.0,0.7501525895690934
all_pairs,drive,p_intrinsic,0.8333333333333334,isi,SCA3_entry,0.7978563373093712,p_drive,72,36,0.5,0.8196500343943758,0.15275168698113914,0.892820741471155
all_pairs,drive,p_intrinsic,0.8333333333333334,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,0.07808164189319325,0.0,0.5047275269181356
all_pairs,drive,p_intrinsic,0.8333333333333334,isi,balance,0.5,p_drive,72,65,0.9027777777777778,0.6548407952039258,0.3267326775714706,0.756555859830878
all_pairs,drive,p_intrinsic,0.8666666666666667,active,SCA3_entry,0.6832817402871161,p_drive,72,58,0.8055555555555556,0.704207399351784,0.0,0.8473548876785487
all_pairs,drive,p_intrinsic,0.8666666666666667,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,0.00873120198299037,0.0,0.5282446163853722
all_pairs,drive,p_intrinsic,0.8666666666666667,active,balance,0.5,p_drive,72,61,0.8472222222222222,0.4868515036331881,0.0,0.7377069440605014
all_pairs,drive,p_intrinsic,0.8666666666666667,isi,SCA3_entry,0.7978563373093712,p_drive,72,43,0.5972222222222222,0.8305207110921297,0.36550437745668063,0.9144345945828813
all_pairs,drive,p_intrinsic,0.8666666666666667,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,0.1809640431220066,0.0,0.48693204949083563
all_pairs,drive,p_intrinsic,0.8666666666666667,isi,balance,0.5,p_drive,72,64,0.8888888888888888,0.6489064810235956,0.3382514488328359,0.757931615976741
