group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms,main_cell_include,phenotype,forced_valid_zero,excluded_above_valid_range,primary_current_range,total_spike_count,sustained_spike_count,total_rate_hz,sustained_rate_hz,first_spike_latency_ms,early_spike_count,late_spike_count,depolarization_block_candidate
WT,WT_08,/root/neurothermo/WT/cc_08.abf,1,50.0,131.20000000000002,1131.2,1,restricted,1,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_08,/root/neurothermo/WT/cc_08.abf,2,100.0,131.20000000000002,1131.2,1,restricted,1,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_08,/root/neurothermo/WT/cc_08.abf,3,150.0,131.20000000000002,1131.2,1,restricted,1,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_08,/root/neurothermo/WT/cc_08.abf,4,200.0,131.20000000000002,1131.2,1,restricted,1,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_08,/root/neurothermo/WT/cc_08.abf,5,250.0,131.20000000000002,1131.2,1,restricted,1,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_08,/root/neurothermo/WT/cc_08.abf,6,300.0,131.20000000000002,1131.2,1,restricted,1,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_08,/root/neurothermo/WT/cc_08.abf,7,350.0,131.20000000000002,1131.2,1,restricted,0,0,1,69,69,69.6969696969697,69.6969696969697,94.79999999999998,20,25,0
WT,WT_08,/root/neurothermo/WT/cc_08.abf,8,400.0,131.20000000000002,1131.2,1,restricted,0,0,1,47,47,47.474747474747474,47.474747474747474,76.5,26,3,1
WT,WT_08,/root/neurothermo/WT/cc_08.abf,9,450.0,131.20000000000002,1131.2,1,restricted,0,0,1,32,32,32.323232323232325,32.323232323232325,63.69999999999999,25,0,1
WT,WT_08,/root/neurothermo/WT/cc_08.abf,10,500.0,131.20000000000002,1131.2,1,restricted,0,1,1,25,25,25.252525252525253,25.252525252525253,55.400000000000006,19,0,1
WT,WT_08,/root/neurothermo/WT/cc_08.abf,11,550.0,131.20000000000002,1131.2,1,restricted,0,1,1,23,23,23.232323232323232,23.232323232323232,49.30000000000001,21,0,1
WT,WT_08,/root/neurothermo/WT/cc_08.abf,12,600.0,131.20000000000002,1131.2,1,restricted,0,1,1,21,21,21.21212121212121,21.21212121212121,43.099999999999994,21,0,1
WT,WT_09,/root/neurothermo/WT/cc_09.abf,0,0.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,1,50.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,2,100.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,1,0,1.0101010101010102,0.0,125.70000000000002,1,0,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,3,150.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,1,0,1.0101010101010102,0.0,170.69999999999996,1,0,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,4,200.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,1,0,1.0101010101010102,0.0,196.20000000000002,1,0,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,5,250.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,2,0,2.0202020202020203,0.0,284.0,1,1,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,6,300.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,10,10,10.1010101010101,10.1010101010101,112.30000000000001,7,0,1
WT,WT_09,/root/neurothermo/WT/cc_09.abf,7,350.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,32,32,32.323232323232325,32.323232323232325,75.69999999999999,13,8,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,8,400.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,49,49,49.494949494949495,49.494949494949495,60.79999999999998,18,15,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,9,450.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,64,64,64.64646464646465,64.64646464646465,48.99999999999997,22,21,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,10,500.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,76,76,76.76767676767678,76.76767676767678,42.89999999999998,25,25,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,11,550.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,88,88,88.88888888888889,88.88888888888889,37.099999999999994,29,29,0
WT,WT_09,/root/neurothermo/WT/cc_09.abf,12,600.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,56,56,56.56565656565657,56.56565656565657,32.29999999999998,32,2,1
WT,WT_10,/root/neurothermo/WT/cc_10.abf,0,0.0,131.20000000000002,1131.2,1,regular,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,1,50.0,131.20000000000002,1131.2,1,regular,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,2,100.0,131.20000000000002,1131.2,1,regular,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,3,150.0,131.20000000000002,1131.2,1,regular,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,4,200.0,131.20000000000002,1131.2,1,regular,0,0,1,1,0,1.0101010101010102,0.0,155.4,1,0,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,5,250.0,131.20000000000002,1131.2,1,regular,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,6,300.0,131.20000000000002,1131.2,1,regular,0,0,1,2,0,2.0202020202020203,0.0,131.99999999999997,1,1,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,7,350.0,131.20000000000002,1131.2,1,regular,0,0,1,15,15,15.151515151515152,15.151515151515152,81.9,8,2,1
WT,WT_10,/root/neurothermo/WT/cc_10.abf,8,400.0,131.20000000000002,1131.2,1,regular,0,0,1,49,49,49.494949494949495,49.494949494949495,62.0,15,16,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,9,450.0,131.20000000000002,1131.2,1,regular,0,0,1,55,55,55.55555555555556,55.55555555555556,50.099999999999994,18,18,0
WT,WT_10,/root/neurothermo/WT/cc_10.abf,10,500.0,131.20000000000002,1131.2,1,regular,0,0,1,70,70,70.70707070707071,70.70707070707071,40.29999999999998,23,23,0
