biological_pair_key,both_core_secure,path_family,WT_exit_support_weight,WT_exit_p_weighted_median,balance_support_weight,balance_p_weighted_median,SCA3_entry_support_weight,SCA3_entry_p_weighted_median
WT_09__TO__SCA3_05,False,drive_early,0.9761904761904762,0.14384177442138782,0.9761904761904762,0.3450432334260964,0.5714285714285714,0.7318819423813666
WT_09__TO__SCA3_05,False,coupled,0.9761904761904762,0.1690300290407372,0.9761904761904762,0.42791873378204925,0.3571428571428572,0.5675269743050193
WT_09__TO__SCA3_05,False,drive_late,0.9761904761904762,0.2432505613433398,0.9761904761904762,0.7648704396283977,0.2857142857142857,0.535784553677138
WT_09__TO__SCA3_06,True,drive_early,1.0,0.2035267718322397,1.0,0.40607643988042513,1.0,0.6434471497859452
WT_09__TO__SCA3_06,True,coupled,1.0,0.45566622288761627,1.0,0.6957904213046543,1.0,0.8442877054588719
WT_09__TO__SCA3_06,True,drive_late,1.0,0.6902868569681181,1.0,0.8435638881464131,1.0,0.92480659664658
WT_09__TO__SCA3_09,True,drive_early,1.0,0.15504712238266677,1.0,0.5791296303483934,1.0,0.8646692136424362
WT_09__TO__SCA3_09,True,coupled,1.0,0.19532382038919124,1.0,0.6025906261647898,1.0,0.8543670481094031
WT_09__TO__SCA3_09,True,drive_late,1.0,0.07958746701601938,1.0,0.7378489309646011,1.0,0.8520777383820604
WT_10__TO__SCA3_01,True,drive_early,1.0,0.23346457800181555,1.0,0.3925904626092686,1.0,0.5143085671420127
WT_10__TO__SCA3_01,True,coupled,1.0,0.41975179095801934,1.0,0.6741278159643747,1.0,0.864220049368234
WT_10__TO__SCA3_01,True,drive_late,1.0,0.6366230534307026,1.0,0.8214099750571432,1.0,0.9303803747914251
WT_10__TO__SCA3_02,False,drive_early,1.0,0.20171211153133517,0.8571428571428571,0.5169449034071774,0.14285714285714285,0.49017535896271147
WT_10__TO__SCA3_02,False,coupled,1.0,0.19009513572825296,0.5714285714285714,0.05109719234119541,0.42857142857142855,0.1629290830852593
WT_10__TO__SCA3_02,False,drive_late,1.0,0.34053129166423957,0.5714285714285714,0.019621449949932403,0.42857142857142855,0.03447547262820627
WT_10__TO__SCA3_04,True,drive_early,1.0,0.05016662456689578,1.0,0.18727105682476977,1.0,0.3259075641368134
WT_10__TO__SCA3_04,True,coupled,1.0,0.039555927344757214,1.0,0.31824072429862016,0.8333333333333333,0.33994675421639375
WT_10__TO__SCA3_04,True,drive_late,1.0,0.01012415608158151,1.0,0.1169597217940609,0.8333333333333333,0.36838131559594606
WT_10__TO__SCA3_05,False,drive_early,1.0,0.059044637248129986,1.0,0.26876301602825775,0.7142857142857143,0.35895681068486174
WT_10__TO__SCA3_05,False,coupled,1.0,0.027543615349666633,1.0,0.3683669653317799,0.5714285714285714,0.3436383529921596
WT_10__TO__SCA3_05,False,drive_late,1.0,0.013308438620130042,1.0,0.2868308149712107,0.2857142857142857,0.08091409686723737
WT_10__TO__SCA3_06,True,drive_early,1.0,0.20631747448872936,1.0,0.3934367647335272,1.0,0.6298468761704145
WT_10__TO__SCA3_06,True,coupled,1.0,0.5258130871019516,1.0,0.7581816346544501,1.0,0.8787915700717707
WT_10__TO__SCA3_06,True,drive_late,1.0,0.7388875988898832,1.0,0.8628915148815617,1.0,0.9329548818903387
WT_10__TO__SCA3_09,True,drive_early,1.0,0.0508695837598986,1.0,0.31386866346319964,1.0,0.522458418331365
WT_10__TO__SCA3_09,True,coupled,1.0,0.010008523661351723,1.0,0.127639245635509,1.0,0.3687863332943758
WT_10__TO__SCA3_09,True,drive_late,1.0,0.0053621202785243795,1.0,0.050462145402865,1.0,0.08769406920687224
WT_11__TO__SCA3_01,False,drive_early,1.0,0.0,1.0,0.13035452678464396,1.0,0.345851720802283
WT_11__TO__SCA3_01,False,coupled,1.0,0.0,1.0,0.3008901213806284,1.0,0.487495064653996
WT_11__TO__SCA3_01,False,drive_late,1.0,0.0,1.0,0.3713599331795413,1.0,0.7306847822353144
WT_11__TO__SCA3_02,False,drive_early,1.0,0.0,0.19047619047619052,0.035075279839517665,0.09523809523809526,0.1373243654164921
WT_11__TO__SCA3_02,False,coupled,1.0,0.0,0.19047619047619052,0.09012728712458212,0.09523809523809526,0.2772766543877325
WT_11__TO__SCA3_02,False,drive_late,1.0,0.0,0.19047619047619052,0.2917700154712174,0.04761904761904763,0.5304526462136605
WT_11__TO__SCA3_04,False,drive_early,1.0,0.0,1.0,0.6990915280934011,0.5,0.9155805535016881
WT_11__TO__SCA3_04,False,coupled,1.0,0.0,1.0,0.6936709231533545,0.5,0.9253960597806307
WT_11__TO__SCA3_04,False,drive_late,1.0,0.0,1.0,0.666974651781804,0.5,0.8988525284446375
WT_11__TO__SCA3_05,False,drive_early,1.0,0.0,1.0,0.6084862732716092,0.38095238095238104,0.47740196106646604
WT_11__TO__SCA3_05,False,coupled,1.0,0.0,0.9523809523809524,0.48121167843291,0.38095238095238104,0.4645568850253014
WT_11__TO__SCA3_05,False,drive_late,1.0,0.0,0.9523809523809524,0.5221294448755114,0.38095238095238104,0.49692141471870177
WT_11__TO__SCA3_06,False,drive_early,1.0,0.0,1.0,0.13243845500990686,1.0,0.38072704181795375
WT_11__TO__SCA3_06,False,coupled,1.0,0.0,1.0,0.27215383156385026,1.0,0.6594943738086902
WT_11__TO__SCA3_06,False,drive_late,1.0,0.0,1.0,0.5702865644408953,1.0,0.8309997288894349
WT_11__TO__SCA3_09,False,drive_early,1.0,0.0,1.0,0.641703027701078,1.0,0.8740754614731825
WT_11__TO__SCA3_09,False,coupled,1.0,0.0,1.0,0.41856132537875257,1.0,0.7193932386447792
WT_11__TO__SCA3_09,False,drive_late,1.0,0.0,1.0,0.41806580147190453,1.0,0.641536627778728
WT_13__TO__SCA3_01,True,drive_early,1.0,0.4446194166481755,1.0,0.6725888505613615,1.0,0.8451506625557373
WT_13__TO__SCA3_01,True,coupled,1.0,0.5998509747350441,1.0,0.7741555851654236,1.0,0.9010628036026805
WT_13__TO__SCA3_01,True,drive_late,1.0,0.6918095945268097,1.0,0.8251805671613899,1.0,0.9296892189286479
WT_13__TO__SCA3_02,False,drive_early,0.8571428571428571,0.8708448079955109,0.0,,0.0,
