subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support,q25_majority_support,q75_majority_support
all_pairs,drive,p_intrinsic,0.0333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,68,0.9444444444444444,56,0.7777777777777778,0.7777777777777777,0.2993471610140317,0.0,0.42041480892270977,0.16299112151874554,0.0,0.39257026580644483
all_pairs,drive,p_intrinsic,0.0333333333333333,isi,balance,0.5,p_drive,72,65,0.9027777777777778,32,0.4444444444444444,0.4742063492063493,0.5160540995424084,0.30094459607986795,0.6592080444974593,0.5240252577244677,0.30207430004949554,0.641085445190411
all_pairs,drive,p_intrinsic,0.0666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,61,0.8472222222222222,32,0.4444444444444444,0.4761904761904763,0.5194273504675783,0.22458021008824813,0.6509423033094386,0.6117357607027173,0.3112625729266828,0.6765089398251926
all_pairs,drive,p_intrinsic,0.0666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,67,0.9305555555555556,57,0.7916666666666666,0.7817460317460319,0.21183743086200185,0.0,0.4336003314399253,0.13183331357823652,0.0,0.4208331518545212
all_pairs,drive,p_intrinsic,0.0666666666666666,active,balance,0.5,p_drive,72,64,0.8888888888888888,38,0.5277777777777778,0.5,0.4327323855698382,0.12258641094941033,0.6051406732312156,0.5497618482563127,0.22788911619034263,0.6031320454291398
all_pairs,drive,p_intrinsic,0.0666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,61,0.8472222222222222,24,0.3333333333333333,0.35714285714285715,0.6159410431933908,0.288773840564397,0.736981347089557,0.6715485680097469,0.6075607688006868,0.7116296532348191
all_pairs,drive,p_intrinsic,0.0666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,69,0.9583333333333334,59,0.8194444444444444,0.8452380952380953,0.2348882826546799,0.0,0.4057614520499918,0.11520197933675416,0.0,0.3722399131033446
all_pairs,drive,p_intrinsic,0.0666666666666666,isi,balance,0.5,p_drive,72,64,0.8888888888888888,40,0.5555555555555556,0.5515873015873016,0.4969986174944372,0.20595253732862737,0.6516744655572931,0.5169844670135917,0.23108085045274368,0.6186462955227382
all_pairs,drive,p_intrinsic,0.1,active,SCA3_entry,0.6832817402871161,p_drive,72,63,0.875,36,0.5,0.5,0.47786591866642514,0.07466532650208298,0.6505628177850536,0.5729806732436571,0.16065846751833956,0.656024882479053
all_pairs,drive,p_intrinsic,0.1,active,WT_exit,0.1483293470542087,p_drive,72,66,0.9166666666666666,58,0.8055555555555556,0.8333333333333333,0.062460008278268114,0.0,0.36142153607712113,0.062460008278268114,0.0,0.36142153607712113
all_pairs,drive,p_intrinsic,0.1,active,balance,0.5,p_drive,72,64,0.8888888888888888,47,0.6527777777777778,0.6111111111111112,0.35374852667019996,0.0125,0.5829293325603251,0.32082433226025675,0.11677746661508151,0.5868461398469332
all_pairs,drive,p_intrinsic,0.1,isi,SCA3_entry,0.7978563373093712,p_drive,72,60,0.8333333333333334,27,0.375,0.40277777777777773,0.6050658348337016,0.2592600443768114,0.7209188480101423,0.649395640794985,0.5588929666202042,0.7237068138866385
all_pairs,drive,p_intrinsic,0.1,isi,WT_exit,0.1358293233470019,p_drive,72,68,0.9444444444444444,59,0.8194444444444444,0.9023809523809524,0.17064111089459044,0.0,0.358691220021901,0.050171544291890705,0.0,0.35046166445037047
all_pairs,drive,p_intrinsic,0.1,isi,balance,0.5,p_drive,72,63,0.875,44,0.6111111111111112,0.5714285714285714,0.5006022285125734,0.20799316747066243,0.6438415561208789,0.5263425029633009,0.2261133366262563,0.6058970843998065
all_pairs,drive,p_intrinsic,0.1333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,65,0.9027777777777778,43,0.5972222222222222,0.5634920634920635,0.33693915415557096,0.016666666666666642,0.640761737473651,0.4493916002408446,0.049999999999999906,0.655876339575994
all_pairs,drive,p_intrinsic,0.1333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,68,0.9444444444444444,62,0.8611111111111112,0.8452380952380952,2.65511037871929e-16,0.0,0.29968732374326384,2.65511037871929e-16,0.0,0.31775797221573177
all_pairs,drive,p_intrinsic,0.1333333333333333,active,balance,0.5,p_drive,72,66,0.9166666666666666,52,0.7222222222222222,0.6666666666666667,0.2885423087701764,0.0,0.5764676068045793,0.31704084541465527,0.04999999999999995,0.5847830002380283
all_pairs,drive,p_intrinsic,0.1333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,60,0.8333333333333334,28,0.3888888888888889,0.41666666666666674,0.5882268049723827,0.26619435919923107,0.7097101585414346,0.6495160588739375,0.2802192383068499,0.7273237909162558
all_pairs,drive,p_intrinsic,0.1333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,68,0.9444444444444444,62,0.8611111111111112,0.9107142857142858,0.07764335491552085,0.0,0.33395681019683293,0.06753740221952662,0.0,0.3259202561259805
