biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_isi_v1_1_weighted_median,A_active_weighted_median,rheobase_J_weighted_median,active_support_rate_hz_weighted_median,mean_isi_ms_weighted_median,occupancy_fraction_weighted_median
WT_03__TO__SCA3_01,coupled,0.35,WT_03,SCA3_01,0.31892867436880673,0.28676625954802537,1.9320785817227355,74.64312002574482,12.025148387417898,0.987106213868084
WT_03__TO__SCA3_01,coupled,0.375,WT_03,SCA3_01,0.31326204491399273,0.30301936150412334,1.9821508894617887,72.77234908223089,12.526753963909345,0.9890769723640592
WT_03__TO__SCA3_01,coupled,0.4,WT_03,SCA3_01,0.33241542490668075,0.33516365310126023,2.0769392124053105,69.83152771965716,13.087226585168075,0.9865740076234149
WT_03__TO__SCA3_01,coupled,0.425,WT_03,SCA3_01,0.38211701113410734,0.35508799488926673,2.1170843469018026,67.93324358459292,13.971712616414056,0.9909741998926302
WT_03__TO__SCA3_01,coupled,0.45,WT_03,SCA3_01,0.4054363125303109,0.3758899693360715,2.0547199515478445,67.08758985140055,14.392856418492004,0.9893749669563636
WT_03__TO__SCA3_01,coupled,0.475,WT_03,SCA3_01,0.4298651967423697,0.3979066457923865,1.991388494665552,66.23646039733791,14.875674344644402,0.9862784952604112
WT_03__TO__SCA3_01,coupled,0.5,WT_03,SCA3_01,0.45498882153630926,0.42080450979035755,1.9406379980527328,65.37980186562285,15.459024709869006,0.9858824268825976
WT_03__TO__SCA3_01,coupled,0.525,WT_03,SCA3_01,0.48085258710977985,0.4445871481645535,1.9448877820928416,62.36697486385249,15.828549180129562,0.982909931291324
WT_03__TO__SCA3_01,coupled,0.55,WT_03,SCA3_01,0.5070516600445479,0.4689292693256902,2.0541355157447714,60.41325621330017,16.372292264480247,0.9891034873730776
WT_03__TO__SCA3_01,coupled,0.5750000000000001,WT_03,SCA3_01,0.5331902342091571,0.49350965708829997,2.0623157326031496,59.52906768067612,16.95372196588985,0.99088945757688
WT_03__TO__SCA3_01,coupled,0.6000000000000001,WT_03,SCA3_01,0.5597682607052926,0.5186670598498077,2.099270501340314,57.553151191975466,17.508818595598704,0.9886747086588474
WT_03__TO__SCA3_01,coupled,0.625,WT_03,SCA3_01,0.5868347069888554,0.5444103072810039,2.1786574926009896,55.564186921716754,17.930279934264355,0.992310359290583
WT_03__TO__SCA3_01,coupled,0.65,WT_03,SCA3_01,0.6137828823899426,0.5702584876358939,2.2913236933971333,53.56204520204925,18.298060296730178,0.9915908062875282
WT_03__TO__SCA3_01,coupled,0.675,WT_03,SCA3_01,0.640894249677973,0.5963871178234382,2.446138157411786,50.44985858504286,18.65680323183015,0.982156262290228
WT_03__TO__SCA3_01,coupled,0.7000000000000001,WT_03,SCA3_01,0.6684593046986446,0.6229715903678,2.607962729385178,48.41730871504034,18.989759908828663,0.9892851438195948
WT_03__TO__SCA3_01,coupled,0.7250000000000001,WT_03,SCA3_01,0.6961095806371874,0.6496978884418064,2.81568142514882,47.47523263680727,19.30067087024246,0.9871142941995912
WT_03__TO__SCA3_01,coupled,0.75,WT_03,SCA3_01,0.7239332324179444,0.6765796109854961,3.0806128073647745,45.41904952871407,19.601179457757237,0.988389021418104
WT_03__TO__SCA3_01,coupled,0.775,WT_03,SCA3_01,0.7522495223712737,0.7037942003589145,3.3731702580552216,44.46052737447207,19.874747153019243,0.9893276617014906
WT_03__TO__SCA3_01,coupled,0.8,WT_03,SCA3_01,0.7811820509228959,0.7313564335416651,3.6931549697478983,42.3802560633543,20.134247794456844,0.9814208372318046
WT_03__TO__SCA3_01,coupled,0.8250000000000001,WT_03,SCA3_01,0.8106582369949528,0.7698032318233221,4.044175212437849,41.40492727705038,20.38233199747853,0.9903335927663244
WT_03__TO__SCA3_01,coupled,0.8500000000000001,WT_03,SCA3_01,0.8408751986366523,0.7894966036622609,4.415101281536208,39.3001007339217,20.626643596881355,0.9780784312339076
WT_03__TO__SCA3_01,coupled,0.875,WT_03,SCA3_01,0.8723099544848176,0.8295916586747768,4.819714972144476,39.43428850445653,20.86534192162913,0.9873718956979856
WT_03__TO__SCA3_01,coupled,0.9,WT_03,SCA3_01,0.904995064966327,0.869834990266414,5.261075804575567,40.69994993102405,21.11440415263144,0.9918118018518354
WT_03__TO__SCA3_01,coupled,0.925,WT_03,SCA3_01,0.9454323747816481,0.8939898745055326,5.7295790861322935,41.974313831501895,21.39615585681797,0.9890017228349512
WT_03__TO__SCA3_01,coupled,0.95,WT_03,SCA3_01,0.9836210555220687,0.9475110398056843,6.180921288089822,42.11911578982707,21.74757943167671,0.9842275570385476
