feature,family,current_pA,n_WT,n_SCA3,median_WT,median_SCA3,median_difference_SCA3_minus_WT,difference_ci95_low,difference_ci95_high,cliffs_delta_SCA3_vs_WT,permutation_mode,valid_labelings,permutation_p,fdr_q_global,fdr_q_family,fdr_q
sustained_rate_hz,electrophysiology,0.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,exact,77520,1.0,1.0,1.0,1.0
sustained_rate_hz,electrophysiology,50.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,exact,77520,1.0,1.0,1.0,1.0
sustained_rate_hz,electrophysiology,100.0,13,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,exact,77520,1.0,1.0,1.0,1.0
sustained_rate_hz,electrophysiology,150.0,13,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,exact,77520,1.0,1.0,1.0,1.0
sustained_rate_hz,electrophysiology,200.0,13,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,exact,77520,1.0,1.0,1.0,1.0
sustained_rate_hz,electrophysiology,250.0,13,7,0.0,0.0,0.0,0.0,0.0,0.054945054945054944,exact,77520,1.0,1.0,1.0,1.0
sustained_rate_hz,electrophysiology,300.0,13,7,0.0,0.0,0.0,-20.2020202020202,1.0101010101010102,-0.13186813186813187,exact,77520,1.0,1.0,1.0,1.0
sustained_rate_hz,electrophysiology,350.0,13,7,30.303030303030305,0.0,-30.303030303030305,-48.484848484848484,11.11111111111111,-0.34065934065934067,exact,77520,0.3563467492260062,0.6688127404071676,0.808633007859014,0.6688127404071676
sustained_rate_hz,electrophysiology,400.0,13,7,37.37373737373738,14.141414141414142,-23.232323232323235,-50.505050505050505,25.252525252525253,-0.3846153846153846,exact,77520,0.38813209494324047,0.6870809376382132,0.8100871193030456,0.6870809376382132
sustained_rate_hz,electrophysiology,450.0,13,7,49.494949494949495,16.161616161616163,-33.33333333333333,-56.56565656565657,10.101010101010104,-0.5274725274725275,exact,77520,0.14143446852425182,0.4756807176311821,0.4943727783511065,0.4756807176311821
sustained_rate_hz,electrophysiology,500.0,13,7,57.57575757575758,7.070707070707071,-50.505050505050505,-80.8080808080808,-1.0101010101010102,-0.6153846153846154,exact,77520,0.12012383900928793,0.42214949137549757,0.4943727783511065,0.42214949137549757
sustained_rate_hz,electrophysiology,550.0,13,7,55.55555555555556,18.181818181818183,-37.37373737373737,-73.73737373737373,20.2020202020202,-0.3406593406593406,exact,77520,0.15082559339525284,0.4756807176311821,0.4943727783511065,0.4756807176311821
sustained_rate_hz,electrophysiology,600.0,13,7,53.535353535353536,31.313131313131315,-22.22222222222222,-87.87878787878788,17.17171717171717,-0.4945054945054945,exact,77520,0.24256965944272446,0.5424739656628201,0.6505277230509429,0.5424739656628201
first_spike_latency_ms,electrophysiology,400.0,9,4,51.80000000000001,8.250000000000021,-43.54999999999999,-57.09999999999999,208.0,-0.5,exact,715,0.07972027972027972,0.39278188355138316,0.48136718802353484,0.39278188355138316
first_spike_latency_ms,electrophysiology,450.0,10,4,38.65000000000002,7.700000000000026,-30.949999999999996,-47.75,223.0137499999999,-0.55,exact,1001,0.11788211788211789,0.42214949137549757,0.4943727783511065,0.42214949137549757
first_spike_latency_ms,electrophysiology,500.0,11,4,35.40000000000001,106.85000000000004,71.45000000000002,-32.55,430.0,0.1363636363636364,exact,1365,0.05274725274725275,0.3440559440559441,0.389010989010989,0.3440559440559441
first_spike_latency_ms,electrophysiology,550.0,11,7,28.20000000000003,13.900000000000023,-14.300000000000008,-26.099999999999987,123.20000000000002,-0.14285714285714285,exact,31824,0.34320010055304173,0.6688127404071676,0.808633007859014,0.6688127404071676
first_spike_latency_ms,electrophysiology,600.0,13,6,28.900000000000038,14.400000000000023,-14.500000000000014,-26.950000000000017,10.04999999999999,-0.5641025641025641,exact,27132,0.08974642488574378,0.39278188355138316,0.48136718802353484,0.39278188355138316
mean_isi_ms,electrophysiology,400.0,9,4,19.072000000000006,33.370320197044336,14.29832019704433,3.4891111111111037,27.171749999999985,0.7777777777777777,exact,715,0.03776223776223776,0.2732208967503085,0.3182817182817183,0.2732208967503085
mean_isi_ms,electrophysiology,450.0,10,4,14.722798295454545,31.8672268907563,17.144428595301754,5.736661164004914,22.1873578535892,1.0,exact,1001,0.004995004995004995,0.07679820179820179,0.09823509823509824,0.07679820179820179
mean_isi_ms,electrophysiology,500.0,10,4,12.435268154563625,24.404761904761905,11.96949375019828,5.1761926308985196,31.070253164556956,0.95,exact,1001,0.004995004995004995,0.07679820179820179,0.09823509823509824,0.07679820179820179
mean_isi_ms,electrophysiology,550.0,10,7,11.72610229276896,26.303571428571427,14.577469135802467,4.914265672599008,20.430598849002312,1.0,exact,19448,0.001799670917317976,0.07679820179820179,0.09823509823509824,0.07679820179820179
mean_isi_ms,electrophysiology,600.0,12,6,10.610029644268776,22.51102863202545,11.900998987756674,3.5399703557312208,17.710045833696825,0.8333333333333333,exact,18564,0.01001939237233355,0.1073658410732714,0.11822882999353587,0.1073658410732714
cv_isi,electrophysiology,400.0,9,4,0.13750808284531885,0.18476353855956412,0.047255455714245276,-0.10832173503801379,0.14402208240459907,0.27777777777777773,exact,715,0.4433566433566434,0.7470255771625635,0.8100871193030456,0.7470255771625635
cv_isi,electrophysiology,450.0,10,4,0.12736583738750962,0.17030459249638935,0.042938755108879734,-0.09525618362395952,0.16897006989067814,0.39999999999999997,exact,1001,0.22677322677322678,0.5424739656628201,0.6505277230509429,0.5424739656628201
cv_isi,electrophysiology,500.0,10,4,0.09338444246177277,0.13623590970254842,0.042851467240775654,-0.06042926011650076,0.16876307093333473,0.19999999999999996,exact,1001,0.37362637362637363,0.6859111038215516,0.8100871193030456,0.6859111038215516
cv_isi,electrophysiology,550.0,10,7,0.0901452358407148,0.19596772978446825,0.10582249394375345,-0.06097122532924379,0.17952661567169698,0.3142857142857143,exact,19448,0.4631324557795146,0.7609329205366357,0.8100871193030456,0.7609329205366357
cv_isi,electrophysiology,600.0,12,6,0.08687841399376778,0.20065270178582584,0.11377428779205806,-0.152021592253244,0.19811518750182067,0.19444444444444442,exact,18564,0.3341952165481577,0.6688127404071676,0.808633007859014,0.6688127404071676
adaptation_ratio,electrophysiology,400.0,8,4,1.0888495602341361,1.216614366821411,0.12776480658727496,-0.0747993611521736,0.401925347514942,0.4375,exact,495,0.23434343434343435,0.5424739656628201,0.6505277230509429,0.5424739656628201
adaptation_ratio,electrophysiology,450.0,10,4,1.045410628019325,1.2006369757140036,0.1552263476946787,-0.03435701627204306,0.37213323162979584,0.6000000000000001,exact,1001,0.02097902097902098,0.16127622377622378,0.20629370629370627,0.16127622377622378
adaptation_ratio,electrophysiology,500.0,10,4,1.0519957983193287,1.0980907276983367,0.046094929379008054,-0.0754668956350224,0.5849774756850166,0.25,exact,1001,0.43656343656343655,0.7470255771625635,0.8100871193030456,0.7470255771625635
adaptation_ratio,electrophysiology,550.0,10,7,1.030796004842616,1.2727272727272725,0.24193126788465658,0.01403295693278106,0.33166074095721637,0.6857142857142857,exact,19448,0.0066844919786096255,0.08221925133689839,0.09859625668449197,0.08221925133689839
adaptation_ratio,electrophysiology,600.0,12,6,1.0227848830510444,1.4113900484057469,0.38860516535470246,-0.09720912069579263,0.5745567082108747,0.16666666666666669,exact,18564,0.08688860159448394,0.39278188355138316,0.48136718802353484,0.39278188355138316
